accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-3.498722652487532003e-03,-1.885023988136609943e-02,-9.796754315776999178e+00
-1.381329572608256317e-03,-6.740727164650330873e-03,-9.797116197038972629e+00
-4.589707451364354908e-03,3.463275916142689956e-03,-9.801616442564034415e+00
-2.206974058764635954e-03,5.277827522066847127e-04,-9.791157862532832823e+00
7.109130087133148750e-04,-5.654772100299229609e-03,-9.798657259000048469e+00
1.162741451173323433e-03,8.398318599028829247e-04,-9.803738321115639920e+00
-1.683471385879663912e-03,-1.582908405999444625e-03,-9.790835246101030620e+00
1.101193635868027163e-03,-4.101804711558715288e-03,-9.803144608156406647e+00
-6.310735670416582968e-03,-1.086751980361530838e-03,-9.804326804459094546e+00
-5.389955716997152715e-03,8.140160370014769275e-03,-9.798419551604750311e+00
4.410801122505938338e-03,7.573501687110669855e-04,-9.790090954336603701e+00
2.280188238489672288e-03,1.213550330794184288e-04,-9.793129469278262889e+00
9.701193924633199532e-04,7.981276416253645090e-03,-9.786412832968617082e+00
3.186112789385985022e-03,-3.650647203537992803e-03,-9.793748797565607234e+00
4.692286889197597004e-03,-9.354280325975018219e-04,-9.802966920320368871e+00
-1.860116086409498057e-05,7.249675662613417823e-03,-9.803975794601470284e+00
-2.969666754971390238e-03,-2.973767124419398385e-03,-9.793664540929563955e+00
2.881706708903033435e-03,6.207814285124714504e-03,-9.796606345061046994e+00
-3.477743993446957664e-03,1.010569078673094652e-02,-9.797266172889054658e+00
-5.103051755194885518e-04,-4.384697283306410349e-03,-9.799618724251022428e+00
1.102858667715478575e-03,1.631038508218340044e-03,-9.795477255208123069e+00
-1.068143409064801694e-02,6.533661812056669807e-03,-9.797381245545468076e+00
4.776748057691790512e-03,2.346033893637611365e-03,-9.805134461628744802e+00
3.792494262043432946e-03,-2.098504499428288390e-03,-9.803695922256721929e+00
-6.619746042421168061e-04,2.546461015636798143e-03,-9.783157872876200756e+00
7.027440332653156138e-03,-1.471204357500266414e-03,-9.795438488113040520e+00
