gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707037793112274725e+06,4.688713149816713296e+06,3.360425116161957849e+06,-4.263671658213321475e-02,5.239873875359196687e-02,-3.333361808286348926e-02
-2.707036208188834600e+06,4.688709495409409516e+06,3.360437621070245281e+06,-1.435850859873301182e-02,2.471349187791728463e-02,-6.730659124253475512e-02
-2.707038018043489661e+06,4.688707972756788135e+06,3.360438180410021916e+06,-6.809131907628805658e-02,-2.430345301779487932e-02,-2.513675917007537897e-02
-2.707022636663780082e+06,4.688711716623131186e+06,3.360426294640821405e+06,-9.245845215224235067e-03,-8.199510207531054973e-03,4.990612424777330497e-02
-2.707035875309599563e+06,4.688713654433737509e+06,3.360434192652248777e+06,-4.595496241682353947e-04,-3.289706842576511220e-02,-3.168296312642795466e-03
-2.707025567179208621e+06,4.688706386815074831e+06,3.360419699527439661e+06,-5.122518117090441025e-02,6.918654791831520268e-02,-8.919929993773667576e-02
-2.707032247061915230e+06,4.688716910122024827e+06,3.360430012972394936e+06,-1.248859753459608327e-02,2.062197613265156701e-02,-9.255899518570065432e-02
-2.707028365544065367e+06,4.688722914792595431e+06,3.360425383033305407e+06,-1.101763437931435885e-01,5.139136501966289766e-02,-3.135160164216577866e-02
-2.707029554555967916e+06,4.688710070534983650e+06,3.360429566966070794e+06,1.053345714534722338e-02,-4.166770192805359374e-02,-6.825467649308557434e-03
-2.707025939841642510e+06,4.688711821023275144e+06,3.360436243316105101e+06,9.282549636849773966e-02,5.007286314823052031e-02,-1.092317510794549133e-02
-2.707031072808151599e+06,4.688711598624768667e+06,3.360422543056854047e+06,-5.307442184763459629e-03,-8.368901151379871950e-02,6.235021072353158500e-05
-2.707028430011757649e+06,4.688721072210533544e+06,3.360439907482025214e+06,5.802179959169168760e-03,2.088385177775730229e-03,-4.731172925885335223e-02
-2.707019005546714179e+06,4.688717601474633440e+06,3.360424048352140933e+06,3.360511660062341643e-03,-1.770203581943979518e-02,1.076649039504259595e-02
-2.707018015830215532e+06,4.688706793030359782e+06,3.360430860784657765e+06,1.829178999090496846e-02,-9.068243579867923954e-02,2.070710721018667252e-02
-2.707030194795383140e+06,4.688712435536789708e+06,3.360434245614492334e+06,-8.442869958744701753e-02,3.517311244250175689e-02,-6.936545189109023790e-02
-2.707026382130120415e+06,4.688717865763553418e+06,3.360435515296773054e+06,3.875007204788444293e-02,2.729096890489118507e-02,-5.094806968477406939e-02
-2.707035907816736959e+06,4.688702792974908836e+06,3.360415110829317011e+06,1.472157411857472368e-03,-7.511977180618849281e-02,1.119507312109462166e-01
-2.707024479593817145e+06,4.688711708044398576e+06,3.360425480950653553e+06,-2.987027411370346552e-02,-5.129887353880518974e-02,4.862486390920327424e-03
-2.707031926852320787e+06,4.688720207151393406e+06,3.360423120478240307e+06,1.112494692090749623e-02,6.988817657513400616e-02,2.200591653040893936e-02
-2.707032912222085055e+06,4.688712420686771162e+06,3.360441169193077367e+06,3.437469550300784049e-02,1.453937190926066041e-02,6.816426125692330584e-02
-2.707031317700269632e+06,4.688708046774974093e+06,3.360431178670120891e+06,1.856771545663044379e-02,1.453104558752491698e-02,6.080444579749028251e-03
-2.707030538758999668e+06,4.688715091272964142e+06,3.360419163870938122e+06,-1.158443539893203901e-02,-9.642803928835586014e-02,-2.506297367260024167e-02
-2.707030170279437210e+06,4.688712985979169607e+06,3.360437216067828704e+06,-5.384242662116727612e-02,-8.413771090261609742e-02,-4.033227266867940586e-02
-2.707036747114825062e+06,4.688712094218381681e+06,3.360433887435290497e+06,-3.126602093982574354e-02,4.607812431508064716e-03,-2.881582283755917961e-02
-2.707029681177103426e+06,4.688708055110786110e+06,3.360431860343219712e+06,-1.675857806046697138e-02,-4.172816137744800140e-03,1.056241613986477410e-02
-2.707034040995171294e+06,4.688716471597309224e+06,3.360440920244650915e+06,4.291483061611391092e-02,1.837025642677677859e-02,-2.897283150539170168e-02
-2.707025074570574798e+06,4.688721463800881989e+06,3.360422671517860144e+06,-4.669739093452685702e-02,4.549707718740314544e-02,3.538690560273165947e-02
-2.707026082964294590e+06,4.688707783754789270e+06,3.360426792688313872e+06,6.404644432336983190e-03,5.583295515420735877e-02,6.544497598845802622e-02
