gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.675387444612766646e-02,-3.745956432641664446e-02,-4.381207262579352862e-02
-7.413700088989154391e-02,5.766933914301578673e-02,-4.492930410020329335e-02
2.542592199584516044e-02,-5.708553445984597408e-02,-5.239786606406225331e-03
-1.344266545124029634e-02,-8.402381678815852573e-02,9.794353822920466145e-04
8.523032460858932791e-02,2.378757397813425004e-02,6.607048536362567989e-03
4.067438203159561005e-02,4.780233193548170945e-02,1.245225057238962853e-02
-1.368298325216316634e-02,6.189090619374152530e-02,-1.435196286065697040e-02
-7.584258977762063647e-02,1.724924222487175807e-02,6.786812178997280245e-03
1.549676176557283035e-02,-3.278394294821819488e-02,1.609723844480621035e-03
2.187314253990904622e-02,-1.454314229527392532e-02,-3.395960182086373708e-02
-3.807767401135152274e-02,7.277386134976877863e-02,-4.770594200414118163e-02
-5.624958328073637916e-03,4.235114692170100642e-02,-2.069710896051733806e-02
-1.035760212724933654e-02,-5.325404152262788043e-02,-2.486623773743080763e-03
2.661396249288779797e-02,-1.487589392681368076e-02,-1.951258158978581500e-02
-4.130822955100821314e-02,-1.059382015702129733e-02,6.394939458976424233e-03
2.252353340073089474e-02,-4.114851016046098403e-02,1.135968987853816850e-02
-6.339946064181391228e-02,-4.325245622723902957e-03,-3.284928105675222199e-02
2.127735094526748277e-02,7.764068151020821207e-02,-3.549499347610256955e-02
-1.110948063755656801e-02,4.521875769892616526e-03,9.180187156812229243e-02
-5.880009697060315128e-03,3.878384553568531984e-02,-3.732890689635310483e-02
2.072233218084987977e-02,-6.724017060651497901e-02,-6.373139245316247758e-02
2.805899207657634731e-02,-1.678778147271824464e-02,1.953100066621557204e-02
-4.352261821800084557e-02,3.826868673986565106e-02,3.285528495621234174e-04
-2.288502789164323023e-02,5.269384661323735231e-02,-5.422172205893350388e-02
-2.573119231835770820e-02,-5.099176175031277375e-02,-2.971091347111906936e-02
-6.150563227111032621e-02,-9.679962157761118693e-03,1.615156540129242257e-02
7.183387960322114296e-02,4.917447118014223878e-02,7.095681449914138447e-03
