mag_x (uT),mag_y (uT),mag_z (uT)
3.270500641540122899e+01,1.171966724238130385e-02,3.778703638615185412e+01
3.269252302368329310e+01,5.315204528353273915e-03,3.778944346888465589e+01
3.267972050017405650e+01,-3.133794798229305647e-03,3.778322269622452012e+01
3.267934966893126614e+01,-7.314521791944978389e-03,3.777818103018206131e+01
3.267699412867085584e+01,5.711896962306057916e-03,3.779231097408192852e+01
3.270063867477087172e+01,-4.286271778896284627e-03,3.779391974009827493e+01
3.268984345814696013e+01,7.262890863557404549e-03,3.778264301901781863e+01
3.269716281302117267e+01,-6.924265457924781188e-03,3.777702632476870548e+01
3.268260993370088840e+01,-4.699464161383661194e-03,3.780861102998330381e+01
3.270341175216909591e+01,-1.114714241711101811e-02,3.778672844432145439e+01
3.268534134046273465e+01,1.766422884474132260e-02,3.778737415630085650e+01
3.267450974512171058e+01,-1.056306786931362866e-03,3.780028264880952804e+01
3.266930852169668498e+01,-6.696234563061361118e-03,3.778139646285275433e+01
3.268331522794159127e+01,2.898802480401698693e-03,3.779528777268514261e+01
3.269080534039271413e+01,5.390824592931133669e-03,3.780175161036330422e+01
3.266303032252531580e+01,1.660362281869627241e-02,3.778828243829901368e+01
3.268875544204725969e+01,1.200172480863602280e-02,3.777613047635103527e+01
3.266798306223331139e+01,9.723810127473335105e-03,3.778815579539499936e+01
3.270879961959172277e+01,-4.613223671110203497e-03,3.778314581988679777e+01
3.269523426693339019e+01,2.404627376087154801e-03,3.778039663026734019e+01
3.269125881695320857e+01,-1.397476418285782836e-04,3.779269005688679073e+01
3.268939989500074716e+01,-8.282334883765675795e-03,3.779502465913147802e+01
3.271266635931213074e+01,1.175421150211400020e-03,3.777479906199015147e+01
3.269635591791025320e+01,-7.557402649779096371e-03,3.778212695892074890e+01
3.269300791611925661e+01,-1.883310443456074831e-02,3.777870867128500976e+01
3.269991387564441254e+01,-1.995274981895334837e-02,3.779542333117512243e+01
3.268331376729768323e+01,3.508534627498505198e-03,3.777552119346106707e+01
3.271578048334826860e+01,-9.057301249847741695e-03,3.777839271394150700e+01
3.267816863341656131e+01,-1.038772932835511746e-02,3.779442376850540342e+01
3.269806138124737771e+01,-9.982002906394931568e-03,3.775646297529353745e+01
3.269621221995107874e+01,9.559835378762639125e-04,3.778847622506713577e+01
3.269315343779495464e+01,-7.647932692595993225e-03,3.779887857493015701e+01
3.269353603035992251e+01,3.769160322070423414e-03,3.778133148598579538e+01
3.269728553648803882e+01,-4.841262274239023673e-03,3.780147747179059081e+01
3.271811350666440887e+01,5.592833208497433907e-03,3.780586323144337513e+01
3.269777251021299946e+01,-9.093825078869830630e-03,3.777344139601704143e+01
3.269686469418306274e+01,9.840088724717732313e-03,3.778257430027828434e+01
3.269120318940249348e+01,1.389843708283377676e-03,3.776583944255794734e+01
3.270377882911645884e+01,-2.316324065505534404e-03,3.781143121996828427e+01
3.269290865422256331e+01,-1.318347603708899373e-03,3.780135895398482404e+01
3.268874451130427161e+01,3.135450099039846766e-03,3.777727226615087375e+01
3.269003891995027544e+01,6.529809135658878362e-03,3.780347001851542643e+01
3.268445616141310950e+01,1.436190554621325595e-03,3.779908137979467853e+01
